symbol,signal_date,entry,risk_pct,t1,baseline_r,sweep_full_r,t1_then_sweep_r,baseline_reason,sweep_full_reason,t1_then_sweep_reason,t1_hit
HINDUNILVR,2022-11-29 03:45:00+00:00,2634.0,7.987250822435321,,-1.0,0.3241686186288193,-1.0,stop,sweep_reject,stop,False
HINDUNILVR,2023-03-20 03:45:00+00:00,2515.0,5.016827536455369,2741.60009765625,-1.0,-1.0,0.3979722917853311,stop,stop,stop_after_t1,True
HINDUNILVR,2025-02-01 03:45:00+00:00,2505.0,10.246574443189512,2962.699951171875,-1.0,-1.0,-1.0,stop,stop,stop,False
HINDUNILVR,2025-03-25 03:45:00+00:00,2272.0,5.273405953911947,2602.0,-1.018263785642325,-1.018263785642325,-1.018263785642325,stop,stop,stop,False
HINDUNILVR,2025-07-07 03:45:00+00:00,2405.39990234375,6.2315128115327525,2962.699951171875,-1.0,0.9446757599009137,-1.0,stop,sweep_reject,stop,False
HINDUNILVR,2025-12-31 03:45:00+00:00,2322.0,2.140888351641322,2488.0,-1.0,-1.0,-1.0,stop,stop,stop,False
ICICIBANK,2017-12-19 03:45:00+00:00,314.1000061035156,5.322012284119582,,-1.0,-1.0,-1.0,stop,stop,stop,False
ICICIBANK,2018-10-29 03:45:00+00:00,347.45001220703125,15.563088539155709,,-1.0,0.17660975863613296,-1.0,stop,sweep_reject,stop,False
ICICIBANK,2020-10-06 03:45:00+00:00,379.29998779296875,12.340210341991597,520.5499877929688,5.640252357510188,0.7926265033674105,3.2121665771857013,trend_exit,sweep_reject,sweep_reject,True
ICICIBANK,2022-10-18 03:45:00+00:00,900.0499877929688,5.7244426111664275,,-1.0,0.5046305185279257,-1.0,stop,sweep_reject,stop,False
ICICIBANK,2023-09-12 03:45:00+00:00,989.7999877929688,4.081307997703027,,-1.0,-1.0,-1.0,stop,stop,stop,False
ICICIBANK,2024-01-12 03:45:00+00:00,1003.5,2.9745558340173277,,-1.0,-1.0,-1.0,stop,stop,stop,False
ICICIBANK,2024-04-29 03:45:00+00:00,1159.949951171875,9.842386896299057,,1.1181014699931506,-0.017955547848966566,1.1181014699931506,trend_exit,sweep_reject,trend_exit,False
INDUSINDBK,2017-03-14 03:45:00+00:00,1363.5,5.7421514333353,,6.01065936498361,1.4752044043164885,6.01065936498361,trend_exit,sweep_reject,trend_exit,False
INDUSINDBK,2020-01-13 03:45:00+00:00,1546.0,7.194762123289795,1823.75,-1.0,-1.0,-1.0,stop,stop,stop,False
INDUSINDBK,2020-11-04 03:45:00+00:00,694.9500122070312,18.228856694665023,1136.949951171875,1.6344145188950097,2.1317249306847676,3.5997771797519533,trend_exit,sweep_reject,sweep_reject,True
INDUSINDBK,2022-11-22 03:45:00+00:00,1176.0,5.149811651083433,1275.800048828125,-1.0,0.13209650273334167,-1.0,stop,sweep_reject,stop,False
INDUSINDBK,2023-06-30 03:45:00+00:00,1379.949951171875,8.746793990030556,1585.0,0.22410720543389753,0.7543414108840779,1.6205285938095597,trend_exit,sweep_reject,sweep_reject,True
INDUSINDBK,2025-10-10 03:45:00+00:00,758.0,6.4984483427701205,848.7000122070312,4.832693887168565,3.1081090278538155,2.4747128147797612,open_at_end,sweep_reject,sweep_reject,True
INFY,2017-05-04 03:45:00+00:00,468.0,2.9490219134841884,495.0,-1.0,1.4110868662818106,1.6837034703470346,stop,sweep_reject,sweep_reject,True
INFY,2018-04-12 03:45:00+00:00,587.0,2.879104892770624,,-2.1301339389878193,-2.1301339389878193,-2.1301339389878193,stop,stop,stop,False
INFY,2018-12-04 03:45:00+00:00,683.0,12.45424967584089,,-0.3761938631895901,0.9522407161986499,-0.3761938631895901,trend_exit,sweep_reject,trend_exit,False
INFY,2020-09-14 03:45:00+00:00,979.5,7.015023585839511,,8.698605687314117,2.74405665227844,8.698605687314117,trend_exit,sweep_reject,trend_exit,False
INFY,2023-01-17 03:45:00+00:00,1544.75,6.54997337838199,1910.300048828125,-1.0,-1.0,-1.0,stop,stop,stop,False
INFY,2023-11-15 03:45:00+00:00,1416.0999755859375,4.699901805110456,1518.25,4.190500073941168,0.7467484487813011,2.5989667992087906,trend_exit,sweep_reject,sweep_reject,True
ITC,2017-04-26 03:45:00+00:00,280.593505859375,7.249980407516215,,-1.0,0.049700075975259446,-1.0,stop,sweep_reject,stop,False
ITC,2017-10-18 03:45:00+00:00,260.9500427246094,2.736825322349962,273.8049621582031,-1.0,-1.0,-1.0,stop,stop,stop,False
ITC,2018-03-12 03:45:00+00:00,259.65008544921875,6.1451332710450695,284.4451599121094,-1.0108405992383436,-1.0108405992383436,-1.0108405992383436,stop,stop,stop,False
ITC,2018-07-05 03:45:00+00:00,262.6351318359375,5.235300643754752,284.4451599121094,-0.5077289296038285,1.9083592349923773,1.9923973640460257,trend_exit,sweep_reject,sweep_reject,True
ITC,2020-07-23 03:45:00+00:00,193.54595947265625,3.220854727168713,211.74505615234375,-1.1662171396936662,-1.1662171396936662,-1.1662171396936662,stop,stop,stop,False
ITC,2020-11-05 03:45:00+00:00,169.9545440673828,7.625861507255635,191.62013244628906,17.117834858364485,1.537930277801461,1.9558460885664135,trend_exit,sweep_reject,sweep_reject,True
ITC,2024-12-24 03:45:00+00:00,462.7289123535156,6.206429608324499,508.90069580078125,-1.0,-1.0,-1.0,stop,stop,stop,False
ITC,2025-01-31 03:45:00+00:00,448.0,3.2758277289721374,472.7913818359375,-1.0,-1.0,-1.0,stop,stop,stop,False
ITC,2025-04-09 03:45:00+00:00,420.0,4.533160410770747,471.5,-1.0,0.9191527078474226,-1.0,stop,sweep_reject,stop,False
ITC,2025-10-16 03:45:00+00:00,405.3500061035156,1.9275244931941315,427.0,-1.0,-1.0,-1.0,stop,stop,stop,False
KOTAKBANK,2017-07-14 03:45:00+00:00,196.60000610351562,4.953899321222297,,8.852732094051635,0.03901584658283616,8.852732094051635,trend_exit,sweep_reject,trend_exit,False
KOTAKBANK,2020-01-31 03:45:00+00:00,329.1199951171875,4.4877630317123485,,-1.0,0.7000615098566751,-1.0,stop,sweep_reject,stop,False
KOTAKBANK,2020-10-13 03:45:00+00:00,267.04998779296875,8.085615593133857,300.29998779296875,3.054282667169219,3.007970580712265,2.273923727702997,trend_exit,sweep_reject,sweep_reject,True
KOTAKBANK,2022-03-17 03:45:00+00:00,363.1300048828125,8.208766723492353,409.6000061035156,-1.0376234248592704,0.8695502039542837,-1.0376234248592704,stop,sweep_reject,stop,False
KOTAKBANK,2024-08-20 03:45:00+00:00,360.0,3.2557329450334764,383.79998779296875,-1.0,0.6313643946965105,0.5153025189541642,stop,sweep_reject,stop_after_t1,True
KOTAKBANK,2024-11-25 03:45:00+00:00,359.0,6.637545371975881,397.54998779296875,1.787753800503995,-0.04196604564233755,1.567222025741179,trend_exit,sweep_reject,sweep_reject,True
LT,2017-05-25 03:45:00+00:00,1180.0,4.004599952235929,,-1.0,-1.0,-1.0,stop,stop,stop,False
LT,2017-09-08 03:45:00+00:00,1180.0,5.830685816434629,,0.23109797689818615,0.6540498737360931,0.23109797689818615,trend_exit,sweep_reject,trend_exit,False
LT,2019-02-28 03:45:00+00:00,1300.300048828125,7.84764482667508,1459.699951171875,-1.084347783251778,1.468008880895184,1.6429350190520031,stop,sweep_reject,sweep_reject,True
LT,2021-05-14 03:45:00+00:00,1433.0,8.172937210078448,,1.6641311144515454,0.23053634921427854,1.6641311144515454,trend_exit,sweep_reject,trend_exit,False
LT,2022-10-25 03:45:00+00:00,1952.0999755859375,5.057132528507976,,13.815803449695304,1.1370522736033999,13.815803449695304,trend_exit,sweep_reject,trend_exit,False
LT,2025-08-12 03:45:00+00:00,3696.0,3.3955627705627704,3963.5,-1.0,-1.0,-1.0,stop,stop,stop,False
