symbol,signal_date,entry_date,entry,stop,risk_pct,t1,t1_kind,t2,t2_kind,t1_r,t2_r,n_pool,nearest_pool_r,baseline_r,baseline_reason,baseline_hit_t1,baseline_hit_t2,baseline_bars,baseline_open,t1t2_r,t1t2_reason,t1t2_hit_t1,t1t2_hit_t2,t1t2_bars,t1t2_open,t1run_r,t1run_reason,t1run_hit_t1,t1run_hit_t2,t1run_bars,t1run_open,t1t2_be_r,t1t2_be_reason,t1t2_be_hit_t1,t1t2_be_hit_t2,t1t2_be_bars,t1t2_be_open,t1run_be_r,t1run_be_reason,t1run_be_hit_t1,t1run_be_hit_t2,t1run_be_bars,t1run_be_open,t1run_trail_r,t1run_trail_reason,t1run_trail_hit_t1,t1run_trail_hit_t2,t1run_trail_bars,t1run_trail_open
CIPLA,2023-10-18 03:45:00+00:00,2023-10-19 03:45:00+00:00,1210.5,1144.1882167271206,5.478049010564183,1277.9000244140625,daily_swing,,,1.0164109768652254,,6,0.7102806358278214,-1.0,stop,False,False,4,False,-1.0,stop,False,False,4,False,-1.0,stop,False,False,4,False,-1.0,stop,False,False,4,False,-1.0,stop,False,False,4,False,-1.0,stop,False,False,4,False
CIPLA,2024-05-21 03:45:00+00:00,2024-05-22 03:45:00+00:00,1450.949951171875,1312.7835745675222,9.522477084255128,,,,,,,5,0.42738363905437105,-0.4045839785161518,trend_exit,False,False,172,False,-0.4045839785161518,trend_exit,False,False,172,False,-0.4045839785161518,trend_exit,False,False,172,False,-0.4045839785161518,trend_exit,False,False,172,False,-0.4045839785161518,trend_exit,False,False,172,False,-0.4045839785161518,trend_exit,False,False,172,False
CIPLA,2025-10-10 03:45:00+00:00,2025-10-13 03:45:00+00:00,1559.0,1472.1206665039062,5.572760326882216,1702.050048828125,daily_swing,,,1.646537134571328,,11,0.29811490686938813,-1.0,stop,False,False,59,False,-1.0,stop,False,False,59,False,-1.0,stop,False,False,59,False,-1.0,stop,False,False,59,False,-1.0,stop,False,False,59,False,-1.0,stop,False,False,59,False
COALINDIA,2017-12-15 03:45:00+00:00,2017-12-18 03:45:00+00:00,269.95001220703125,261.43392878941125,3.1546890285334763,282.1000061035156,daily_swing,292.3500061035156,daily_swing,1.42671147059759,2.6303164022722245,21,1.42671147059759,-1.0,stop,False,False,100,False,2.028513936434907,t2,True,True,15,False,0.21335573529879504,stop_after_t1,True,False,100,False,2.028513936434907,t2,True,True,15,False,0.713355735298795,stop_after_t1,True,False,61,False,2.542247748735056,stop_after_t1,True,False,56,False
COALINDIA,2018-05-31 03:45:00+00:00,2018-06-01 03:45:00+00:00,293.0,256.34891640799384,12.508902249831454,332.29998779296875,prev_month,,,1.0722735575965436,,16,0.577063263174498,-1.0,stop,False,False,117,False,-1.0,stop,False,False,117,False,-1.0,stop,False,False,117,False,-1.0,stop,False,False,117,False,-1.0,stop,False,False,117,False,-1.0,stop,False,False,117,False
COALINDIA,2021-05-06 03:45:00+00:00,2021-05-07 03:45:00+00:00,135.39999389648438,123.11964432852609,9.069682512206626,157.3000030517578,prev_month,163.0,prev_month,1.7833376024095142,2.2474935221330488,49,1.7833376024095142,22.84544236774449,trend_exit,False,False,874,False,2.0154155622712815,t2,True,True,24,False,12.314389985077002,trend_exit,True,False,874,False,2.0154155622712815,t2,True,True,24,False,0.8916688012047571,stop_after_t1,True,False,72,False,1.2458937423958125,stop_after_t1,True,False,30,False
COALINDIA,2025-07-22 03:45:00+00:00,2025-07-23 03:45:00+00:00,389.3999938964844,380.1750063214983,2.3690261221314723,409.5,daily_swing,417.25,daily_swing,2.1788653849266533,3.018974917541574,18,0.8997321940088797,-1.0,stop,False,False,2,False,-1.0,stop,False,False,2,False,-1.0,stop,False,False,2,False,-1.0,stop,False,False,2,False,-1.0,stop,False,False,2,False,-1.0,stop,False,False,2,False
COALINDIA,2025-09-03 03:45:00+00:00,2025-09-04 03:45:00+00:00,391.79998779296875,368.0474934169224,6.062403041369519,417.25,daily_swing,459.54998779296875,daily_swing,1.071466929077428,2.8523320088994013,19,0.08841202402866018,1.606148129542791,trend_exit,False,False,218,False,1.9618994689884146,t2,True,True,100,False,1.3388075293101096,trend_exit,True,False,218,False,1.9618994689884146,t2,True,True,100,False,1.3388075293101096,trend_exit,True,False,218,False,1.0377861274280402,stop_after_t1,True,False,94,False
DIVISLAB,2018-03-15 03:45:00+00:00,2018-03-16 03:45:00+00:00,1084.550048828125,977.8678567068918,9.836539331357292,1193.5999755859375,daily_swing,1303.800048828125,daily_swing,1.0221942818149872,2.055169617726313,18,0.3894738749893264,32.202656159032074,trend_exit,False,False,923,False,1.53868194977065,t2,True,True,109,False,16.612425220423532,trend_exit,True,False,923,False,0.5110971409074936,stop_after_t1,True,False,45,False,0.5110971409074936,stop_after_t1,True,False,45,False,0.8054289572543442,stop_after_t1,True,False,39,False
DIVISLAB,2023-09-06 03:45:00+00:00,2023-09-07 03:45:00+00:00,3707.949951171875,3523.8042898995536,4.966239126666832,3934.699951171875,daily_swing,4438.7998046875,daily_swing,1.2313621642416748,3.9688681691762335,21,0.1726896447540945,-1.0,stop,False,False,30,False,-1.0,stop,False,False,30,False,-1.0,stop,False,False,30,False,-1.0,stop,False,False,30,False,-1.0,stop,False,False,30,False,-1.0,stop,False,False,30,False
DIVISLAB,2024-04-03 03:45:00+00:00,2024-04-04 03:45:00+00:00,3708.0,3341.7671456473213,9.876829944786374,4074.39990234375,daily_swing,4600.0,prev_month,1.0004561250829518,2.4356089012729933,20,0.3407669392433693,5.476024272985413,trend_exit,False,False,369,False,1.7180325131779726,t2,True,True,46,False,3.2382401990341823,trend_exit,True,False,369,False,1.7180325131779726,t2,True,True,46,False,3.2382401990341823,trend_exit,True,False,369,False,1.506418511105487,stop_after_t1,True,False,71,False
